"Key","en (English)","it (Italian)","pl (Polish)","es (Spanish)","de (German)","pt (Portuguese)","fr (French)","ja (Japanese)","ru (Russian)","tr (Turkish)","ar (Arabic)","cs (Czech)","th (Thai)","id (Indonesian)","nl (Dutch)","vi (Vietnamese)","ko (Korean)","zh-Hans (ChineseSimplified)","zh-Hant (ChineseTraditional)","lt (Lithuanian)","uk (Ukrainian)","lv (Latvian)","hi (Hindi)","el (Greek)","pt-BR (Brazilian)"
"Environment","Environment","Ambiente","Środowisko","Entorno","Umgebung","Ambiente","Environnement","環境","Окружающая среда","Çevre","البيئة","Prostředí","สภาพแวดล้อม","Lingkungan","Omgeving","Môi trường","환경","环境","環境","Aplinka","Середовище","Vide","पर्यावरण","Περιβάλλον","Ambiente"
"Environment_Description","- Farmers don't take kindly to bunnies, escape them by hiding in bushes.<br>- Burrows protect you from eagles.<br>- Bushes will only help you against eagles if you haven't already been spotted.","- I contadini non sono gentili con i conigli, sfuggi a loro nascondendoti nei cespugli.<br>- Le tane ti proteggono dalle aquile.<br>- I cespugli ti aiuteranno contro le aquile solo se non sei già stato avvistato.","- Rolnicy nie przepadają za królikami, uciekaj przed nimi, ukrywając się w krzakach.<br>- Nory chronią cię przed orłami.<br>- Krzaki pomogą ci przeciwko orłom tylko wtedy, gdy jeszcze cię nie zauważono.","- Los agricultores no son amables con los conejos, escápate de ellos escondiéndote en los arbustos.<br>- Las madrigueras te protegen de las águilas.<br>- Los arbustos solo te ayudarán contra las águilas si aún no te han visto.","- Bauern sind nicht freundlich zu Kaninchen, entkomme ihnen, indem du dich in Büschen versteckst.<br>- Höhlen schützen dich vor Adlern.<br>- Büsche helfen dir nur gegen Adler, wenn du noch nicht entdeckt wurdest.","- Os fazendeiros não gostam de coelhos, fuja deles escondendo-se nos arbustos.<br>- As tocas te protegem das águias.<br>- Os arbustos só te ajudarão contra as águias se você ainda não foi avistado.","- Les fermiers n'aiment pas les lapins, échappez-leur en vous cachant dans les buissons.<br>- Les terriers vous protègent des aigles.<br>- Les buissons ne vous aideront contre les aigles que si vous n'avez pas encore été repéré.","- 農民たちはウサギを嫌います。茂みに隠れて逃げましょう。<br>- 巣穴はワシから身を守ってくれます。<br>- ワシに見つかっていない限り、茂みは役立ちます。","- Фермеры недолюбливают кроликов, спасайтесь от них, прячась в кустах.<br>- Норы защищают вас от орлов.<br>- Кусты помогут вам против орлов, только если вас еще не заметили.","- Çiftçiler tavşanları pek hoş karşılamaz, çalılara saklanarak onlardan kaç.<br>- Oyuklar seni kartallardan korur.<br>- Çalılar, kartallara karşı yalnızca seni henüz fark etmemişlerse yardımcı olur.","- الفلاحون لا يحبون الأرانب، اهرب منهم بالاختباء في الشجيرات.<br>- الجحور تحميك من النسور.<br>- الشجيرات ستساعدك فقط ضد النسور إذا لم يتم رصدك بالفعل.","- Farmáři nemají rádi králíky, utečte jim schováním se v křoví.<br>- Nory vás chrání před orly.<br>- Křoví vám pomůže proti orlům, pouze pokud jste ještě nebyli spatřeni.","- ชาวนาไม่ชอบกระต่าย หลบพวกเขาโดยซ่อนตัวในพุ่มไม้<br>- รูจะปกป้องคุณจากนกอินทรี<br>- พุ่มไม้จะช่วยคุณจากนกอินทรีได้ก็ต่อเมื่อคุณยังไม่ถูกพบเห็น","- Petani tidak menyukai kelinci, hindari mereka dengan bersembunyi di semak-semak.<br>- Lubang melindungi Anda dari elang.<br>- Semak hanya akan membantu Anda melawan elang jika Anda belum terlihat.","- Boeren zijn niet vriendelijk tegen konijnen, ontsnap aan hen door je in struiken te verstoppen.<br>- Holen beschermen je tegen adelaars.<br>- Struiken helpen je alleen tegen adelaars als je nog niet gezien bent.","- Nông dân không thích thỏ, hãy trốn họ bằng cách nấp trong bụi cây.<br>- Hang bảo vệ bạn khỏi đại bàng.<br>- Bụi cây sẽ chỉ giúp bạn chống lại đại bàng nếu bạn chưa bị phát hiện.","- 농부들은 토끼를 좋아하지 않습니다. 덤불에 숨어서 그들을 피하세요.<br>- 굴은 독수리로부터 당신을 보호합니다.<br>- 이미 발견되지 않은 경우에만 덤불이 독수리로부터 도움을 줄 것입니다.","- 农民不喜欢兔子，通过躲在灌木丛中逃避他们。<br>- 地洞能保护你免受鹰的攻击。<br>- 如果你还没有被发现，灌木丛只会帮助你对抗鹰。","- 農民不喜歡兔子，通過躲在灌木叢中逃避他們。<br>- 洞穴保護你免受老鷹攻擊。<br>- 如果你還沒有被發現，灌木叢只會幫助你對抗老鷹。","- Ūkininkai nemėgsta triušių, pabėkite nuo jų slėpdamiesi krūmuose.<br>- Urvai jus saugo nuo erelių.<br>- Krūmai jums padės nuo erelių tik tuo atveju, jei dar nebuvote pastebėti.","- Фермери не люблять кроликів, рятуйся від них, ховаючись у кущах.<br>- Нори захищають вас від орлів.<br>- Кущі допоможуть вам проти орлів, тільки якщо вас ще не помітили.","- Zemnieki nepatīk truši, izvairieties no tiem, slēpjoties krūmos.<br>- Alas jūs pasargā no ērgļiem.<br>- Krūmi jums palīdzēs pret ērgļiem tikai tad, ja jūs vēl neesat pamanīti.","- किसान खरगोशों को पसंद नहीं करते, झाड़ियों में छिपकर उनसे बचें।<br>- बिल आपको चील से बचाते हैं।<br>- यदि आपको पहले से नहीं देखा गया है, तो झाड़ियाँ केवल चील के खिलाफ आपकी मदद करेंगी।","- Οι αγρότες δεν αγαπούν τα κουνέλια, ξεφύγετε από αυτούς κρυπτόμενοι στους θάμνους.<br>- Οι φωλιές σας προστατεύουν από τους αετούς.<br>- Οι θάμνοι θα σας βοηθήσουν ενάντια στους αετούς μόνο εάν δεν έχετε ήδη εντοπιστεί.","- Os fazendeiros não gostam de coelhos, fuja deles escondendo-se nos arbustos.<br>- As tocas te protegem das águias.<br>- Os arbustos só te ajudarão contra as águias se você ainda não foi avistado."
"Map_Description","- Map helps you understand your position in the level.<br>- While in ghost form, you can also see your corpse on the map.","- La mappa ti aiuta a capire la tua posizione nel livello.<br>- In forma di fantasma, puoi anche vedere il tuo cadavere sulla mappa.","- Mapa pomaga ci zrozumieć twoją pozycję na poziomie.<br>- Będąc duchem, możesz również zobaczyć swoje ciało na mapie.","- El mapa te ayuda a entender tu posición en el nivel.<br>- Mientras estás en forma de fantasma, también puedes ver tu cadáver en el mapa.","- Die Karte hilft dir, deine Position im Level zu verstehen.<br>- In Geisterform kannst du auch deinen Leichnam auf der Karte sehen.","- O mapa ajuda você a entender sua posição no nível.<br>- Enquanto estiver na forma de fantasma, você também pode ver seu cadáver no mapa.","- La carte vous aide à comprendre votre position dans le niveau.<br>- En forme de fantôme, vous pouvez également voir votre cadavre sur la carte.","- マップはレベル内での位置を把握するのに役立ちます。<br>- 幽霊の形で、マップ上に自分の死体も見ることができます。","- Карта помогает вам понять ваше местоположение на уровне.<br>- В форме призрака вы также можете увидеть свое тело на карте.","- Harita, seviyedeki konumunuzu anlamanıza yardımcı olur.<br>- Hayalet formundayken cesedinizi de haritada görebilirsiniz.","- الخريطة تساعدك على فهم موقعك في المستوى.<br>- أثناء وجودك في شكل شبح، يمكنك أيضًا رؤية جثتك على الخريطة.","- Mapa vám pomáhá pochopit vaši pozici na úrovni.<br>- Ve formě ducha můžete na mapě vidět i své tělo.","- แผนที่จะช่วยให้คุณเข้าใจตำแหน่งของคุณในระดับนั้น<br>- ขณะที่อยู่ในรูปแบบผี คุณยังสามารถเห็นศพของคุณบนแผนที่ได้","- Peta membantu Anda memahami posisi Anda di tingkat.<br>- Saat dalam bentuk hantu, Anda juga bisa melihat mayat Anda di peta.","- De kaart helpt je je positie in het niveau te begrijpen.<br>- Als geest kun je ook je lijk op de kaart zien.","- Bản đồ giúp bạn hiểu vị trí của mình trong cấp độ.<br>- Khi ở dạng ma, bạn cũng có thể nhìn thấy xác của mình trên bản đồ.","- 지도가 레벨에서 자신의 위치를 이해하는 데 도움이 됩니다.<br>- 유령 상태에서는 지도에서 자신의 시체도 볼 수 있습니다.","- 地图帮助你理解你在关卡中的位置。<br>- 在幽灵形态时，你还可以在地图上看到你的尸体。","- 地圖幫助你理解你在關卡中的位置。<br>- 在幽靈形態時，你還可以在地圖上看到你的屍體。","- Žemėlapis padeda suprasti jūsų poziciją lygyje.<br>- Vaiduoklio formoje žemėlapyje galite matyti ir savo lavoną.","- Карта допомагає зрозуміти вашу позицію на рівні.<br>- У формі привида ви також можете побачити своє тіло на карті.","- Karte palīdz saprast jūsu pozīciju līmenī.<br>- Būdams spoka formā, jūs varat redzēt savu līķi uz kartes.","- नक्शा स्तर में आपकी स्थिति को समझने में मदद करता है।<br>- भूत रूप में, आप अपने शव को भी नक्शे पर देख सकते हैं।","- Ο χάρτης σας βοηθά να κατανοήσετε τη θέση σας στο επίπεδο.<br>- Ενώ βρίσκεστε σε φάντασμα μορφή, μπορείτε επίσης να δείτε το σώμα σας στον χάρτη.","- O mapa ajuda você a entender sua posição no nível.<br>- Enquanto estiver na forma de fantasma, você também pode ver seu cadáver no mapa."
"Respawn","Respawn","Rinascita","Odrodzenie","Reaparecer","Wiedergeburt","Renascimento","Réapparition","復活","Возрождение","Yeniden Doğma","العودة إلى الحياة","Oživení","เกิดใหม่","Respawn","Respawn","Tái Sinh","재생","重生","重生","Atgimimas","Відродження","Atdzimšana","पुनर्जन्म","Επανεμφάνιση","Renascimento"
"Respawn_Description","- Respawn other players by bringing their corpse to Pillars of Rebirth.","- Fai rinascere altri giocatori portando il loro cadavere ai Pilastri della Rinascita.","- Odrodź innych graczy, przynosząc ich ciało do Filarów Odrodzenia.","- Haz reaparecer a otros jugadores llevando su cadáver a los Pilares del Renacimiento.","- Beleb andere Spieler wieder, indem du ihren Leichnam zu den Säulen der Wiedergeburt bringst.","- Reviva outros jogadores levando seu cadáver aos Pilares do Renascimento.","- Faites réapparaître d'autres joueurs en apportant leur cadavre aux Piliers de la Renaissance.","- 他のプレイヤーを復活させるには、彼らの死体をリバースの柱に持って行ってください。","- Воскресите других игроков, принеся их тело к Столпам Возрождения.","- Diğer oyuncuları Yeniden Doğuş Sütunlarına götürerek yeniden doğmalarını sağlayın.","- أعِد إحياء اللاعبين الآخرين بإحضار جثثهم إلى أعمدة العودة إلى الحياة.","- Oživte ostatní hráče přinesením jejich těla k Pilířům Znovuzrození.","- ทำให้ผู้เล่นคนอื่นฟื้นคืนชีพด้วยการนำศพของพวกเขาไปยังเสาหลักแห่งการเกิดใหม่","- Respawn pemain lain dengan membawa mayat mereka ke Pilar Kelahiran Kembali.","- Laat andere spelers respawnen door hun lijk naar de Zuilen van Wedergeboorte te brengen.","- Hồi sinh những người chơi khác bằng cách mang xác của họ đến Cột Tái Sinh.","- 다른 플레이어를 부활시키려면 그들의 시체를 환생의 기둥으로 가져가세요.","- 将其他玩家的尸体带到重生之柱复活他们。","- 將其他玩家的屍體帶到重生之柱復活他們。","- Atgaivinkite kitus žaidėjus, nešdami jų kūną prie Atgimimo Stulpų.","- Відроджуйте інших гравців, приносячи їхнє тіло до Стовпів Відродження.","- Atjaunojiet citus spēlētājus, nogādājot viņu līķi uz Atjaunošanas Stabiem.","- अन्य खिलाड़ियों को पुनर्जन्म करने के लिए उनके शव को पुनर्जन्म के स्तंभों तक ले जाएं।","- Επαναφέρετε άλλους παίκτες φέρνοντας το σώμα τους στους Πυλώνες της Αναγέννησης.","- Reviva outros jogadores levando seu cadáver aos Pilares do Renascimento."
"Traitors","Traitors","Traditori","Zdrajcy","Traidores","Verräter","Traidores","Traîtres","裏切り者","Предатели","Hainler","الخونة","Zrádci","คนทรยศ","Pengkhianat","Verraders","Kẻ Phản Bội","배신자","叛徒","叛徒","Išdavikai","Зрадники","Nodevēji","गद्दार","Προδότες","Traidores"
"Traitors_Description","- Stop innocents from completing tasks and escaping.<br>- Traitors always have an ability to instantly kill a bunny from behind.<br>- This ability has a long cooldown, so use it wisely.<br>- There are many other ways for you to cause mischief.","- Impedisci agli innocenti di completare i compiti e scappare.<br>- I traditori hanno sempre l'abilità di uccidere istantaneamente un coniglio da dietro.<br>- Questa abilità ha un lungo tempo di ricarica, quindi usala saggiamente.<br>- Ci sono molti altri modi per causare guai.","- Powstrzymaj niewinnych przed ukończeniem zadań i ucieczką.<br>- Zdrajcy zawsze mają zdolność natychmiastowego zabicia królika od tyłu.<br>- Ta zdolność ma długi czas odnowienia, więc używaj jej mądrze.<br>- Istnieje wiele innych sposobów, aby sprawiać kłopoty.","- Evita que los inocentes completen las tareas y escapen.<br>- Los traidores siempre tienen la habilidad de matar instantáneamente a un conejo desde atrás.<br>- Esta habilidad tiene un largo tiempo de recarga, así que úsala sabiamente.<br>- Hay muchas otras formas de causar problemas.","- Verhindere, dass Unschuldige Aufgaben erledigen und entkommen.<br>- Verräter haben immer die Fähigkeit, ein Kaninchen von hinten sofort zu töten.<br>- Diese Fähigkeit hat eine lange Abklingzeit, also nutze sie weise.<br>- Es gibt viele andere Möglichkeiten, Unheil zu stiften.","- Impedir que os inocentes completem as tarefas e escapem.<br>- Os traidores sempre têm a habilidade de matar instantaneamente um coelho por trás.<br>- Esta habilidade tem um longo tempo de recarga, então use-a com sabedoria.<br>- Há muitas outras maneiras de causar confusão.","- Empêchez les innocents de terminer les tâches et de s'échapper.<br>- Les traîtres ont toujours la capacité de tuer instantanément un lapin par derrière.<br>- Cette capacité a un long temps de recharge, alors utilisez-la à bon escient.<br>- Il existe de nombreuses autres façons de semer le désordre.","- 無実の者がタスクを完了して脱出するのを止めましょう。<br>- 裏切り者は常に後ろからウサギを即座に殺す能力を持っています。<br>- この能力には長いクールダウンがありますので、賢く使ってください。<br>- 他にもいたずらをする方法はたくさんあります。","- Остановите невиновных от выполнения заданий и побега.<br>- У предателей всегда есть способность мгновенно убить кролика сзади.<br>- Эта способность имеет долгое время восстановления, так что используйте ее с умом.<br>- Есть много других способов причинить неприятности.","- Masumların görevleri tamamlamalarını ve kaçmalarını engelleyin.<br>- Hainlerin her zaman bir tavşanı arkadan anında öldürme yeteneği vardır.<br>- Bu yeteneğin uzun bir bekleme süresi vardır, bu yüzden akıllıca kullanın.<br>- Size sorun çıkarmanın başka birçok yolu var.","- امنع الأبرياء من إكمال المهام والهروب.<br>- الخونة لديهم دائمًا قدرة على قتل الأرنب من الخلف على الفور.<br>- هذه القدرة لها فترة تباطؤ طويلة، لذا استخدمها بحكمة.<br>- هناك العديد من الطرق الأخرى لإثارة الفوضى.","- Zabraňte nevinným splnit úkoly a uniknout.<br>- Zrádci mají vždy schopnost okamžitě zabít králíka zezadu.<br>- Tato schopnost má dlouhou dobu obnovy, takže ji používejte moudře.<br>- Existuje mnoho dalších způsobů, jak způsobit potíže.","- หยุดผู้บริสุทธิ์จากการทำภารกิจและหลบหนี<br>- คนทรยศมีความสามารถในการฆ่ากระต่ายจากด้านหลังทันทีเสมอ<br>- ความสามารถนี้มีคูลดาวน์ยาว ดังนั้นใช้มันอย่างชาญฉลาด<br>- ยังมีวิธีอื่นๆ อีกมากมายให้คุณก่อกวน","- Hentikan orang yang tidak bersalah menyelesaikan tugas dan melarikan diri.<br>- Pengkhianat selalu memiliki kemampuan untuk membunuh kelinci dari belakang secara instan.<br>- Kemampuan ini memiliki waktu cooldown yang lama, jadi gunakan dengan bijak.<br>- Ada banyak cara lain untuk menyebabkan keonaran.","- Stop onschuldigen van het voltooien van taken en ontsnappen.<br>- Verraders hebben altijd de mogelijkheid om een konijn van achteren direct te doden.<br>- Deze vaardigheid heeft een lange cooldown, dus gebruik het wijs.<br>- Er zijn veel andere manieren voor jou om kattenkwaad te veroorzaken.","- Ngăn những người vô tội hoàn thành nhiệm vụ và trốn thoát.<br>- Kẻ phản bội luôn có khả năng giết thỏ từ phía sau ngay lập tức.<br>- Khả năng này có thời gian hồi chiêu dài, vì vậy hãy sử dụng nó một cách khôn ngoan.<br>- Có nhiều cách khác để bạn gây rắc rối.","- 무고한 사람들이 작업을 완료하고 탈출하는 것을 막으세요.<br>- 배신자는 항상 뒤에서 토끼를 즉시 죽일 수 있는 능력을 가지고 있습니다.<br>- 이 능력은 긴 재사용 대기 시간이 있으므로 현명하게 사용하세요.<br>- 장난을 칠 수 있는 다른 많은 방법이 있습니다.","- 阻止无辜者完成任务和逃脱。<br>- 叛徒总是能够从背后立即杀死一只兔子。<br>- 这种能力有很长的冷却时间，所以明智地使用它。<br>- 你还有许多其他方法可以制造麻烦。","- 阻止無辜者完成任務並逃脫。<br>- 叛徒總是能夠從背後立即殺死一隻兔子。<br>- 這種能力有很長的冷卻時間，所以明智地使用它。<br>- 你還有許多其他方法可以製造麻煩。","- Sustabdykite nekaltus nuo užduočių atlikimo ir pabėgimo.<br>- Išdavikai visada turi gebėjimą akimirksniu nužudyti triušį iš už nugaros.<br>- Šis gebėjimas turi ilgą atvėsimo laiką, todėl naudokite jį protingai.<br>- Yra daugybė kitų būdų, kaip sukelti problemų.","- Зупиніть невинних від виконання завдань та втечі.<br>- Зрадники завжди мають здатність миттєво вбити кролика ззаду.<br>- Ця здатність має довгий час відновлення, тому використовуйте її мудро.<br>- Є багато інших способів, як ви можете створити неприємності.","- Apturiet nevainīgos no uzdevumu pabeigšanas un izglābšanās.<br>- Nodevējiem vienmēr ir spēja uzreiz nogalināt trusi no aizmugures.<br>- Šai spējai ir ilgs atdzišanas laiks, tāpēc izmantojiet to gudri.<br>- Ir daudz citu veidu, kā jūs varat radīt nekārtības.","- निर्दोषों को कार्य पूरा करने और भागने से रोकें।<br>- गद्दारों के पास हमेशा पीछे से एक खरगोश को तुरंत मारने की क्षमता होती है।<br>- इस क्षमता का ठंडा होने का समय लंबा होता है, इसलिए इसे बुद्धिमानी से उपयोग करें।<br>- आपके लिए शरारत करने के और भी कई तरीके हैं।","- Σταματήστε τους αθώους από την ολοκλήρωση των εργασιών και την απόδραση.<br>- Οι προδότες έχουν πάντα την ικανότητα να σκοτώσουν αμέσως ένα κουνέλι από πίσω.<br>- Αυτή η ικανότητα έχει μεγάλο χρόνο ψύξης, γι' αυτό χρησιμοποιήστε την με σύνεση.<br>- Υπάρχουν πολλοί άλλοι τρόποι για να προκαλέσετε κακό.","- Impedir que os inocentes completem as tarefas e escapem.<br>- Os traidores sempre têm a habilidade de matar instantaneamente um coelho por trás.<br>- Esta habilidade tem um longo tempo de recarga, então use-a com sabedoria.<br>- Há muitas outras maneiras de causar confusão."
"Upgrades","Upgrades","Aggiornamenti","Ulepszenia","Mejoras","Upgrades","Melhorias","Améliorations","アップグレード","Улучшения","Yükseltmeler","الترقيات","Vylepšení","การอัปเกรด","Peningkatan","Upgrades","Nâng cấp","업그레이드","升级","升級","Atnaujinimai","Оновлення","Atjauninājumi","उन्नयन","Αναβαθμίσεις","Melhorias"
"Upgrades_Description","- Purchase various upgrades to make things easier.<br>- Earn points by playing the game.","- Acquista vari aggiornamenti per semplificarti la vita.<br>- Guadagna punti giocando.","- Kupuj różne ulepszenia, aby ułatwić sobie grę.<br>- Zdobywaj punkty grając.","- Compra diversas mejoras para facilitar las cosas.<br>- Gana puntos jugando.","- Kaufen Sie verschiedene Upgrades, um die Dinge zu erleichtern.<br>- Verdienen Sie Punkte, indem Sie das Spiel spielen.","- Compre várias melhorias para facilitar as coisas.<br>- Ganhe pontos jogando.","- Achetez diverses améliorations pour vous faciliter la vie.<br>- Gagnez des points en jouant.","- さまざまなアップグレードを購入して、ゲームを有利に進めましょう。<br>- ゲームをプレイしてポイントを獲得しましょう。","- Приобретайте различные улучшения, чтобы упростить игру.<br>- Зарабатывайте очки, играя в игру.","- Çeşitli yükseltmeler satın alarak işleri kolaylaştırın.<br>- Oyun oynayarak puan kazanın.","- اشترِ ترقيات مختلفة لجعل الأمور أسهل.<br>- اكسب النقاط من خلال لعب اللعبة.","- Kupte si různá vylepšení, aby byla hra jednodušší.<br>- Získejte body hraním hry.","- ซื้อการอัปเกรดต่างๆ เพื่อให้ง่ายขึ้น<br>- รับคะแนนจากการเล่นเกม","- Beli berbagai peningkatan untuk mempermudah segalanya.<br>- Dapatkan poin dengan bermain game.","- Koop verschillende upgrades om dingen gemakkelijker te maken.<br>- Verdien punten door het spel te spelen.","- Mua các nâng cấp khác nhau để làm mọi thứ dễ dàng hơn.<br>- Kiếm điểm bằng cách chơi game.","- 다양한 업그레이드를 구매하여 더 쉽게 만들기.<br>- 게임을 하여 포인트를 획득하십시오.","- 购买各种升级以使事情变得更容易。<br>- 通过玩游戏赚取积分。","- 購買各種升級以使事情變得更容易。<br>- 通過玩遊戲賺取積分。","- Pirkite įvairius atnaujinimus, kad viskas būtų lengviau.<br>- Uždirbkite taškų žaisdami žaidimą.","- Придбайте різноманітні оновлення, щоб полегшити гру.<br>- Заробляйте очки, граючи в гру.","- Iegādājieties dažādus uzlabojumus, lai atvieglotu spēli.<br>- Pelniet punktus, spēlējot spēli.","- विभिन्न उन्नयन खरीदें ताकि चीजें आसान हो जाएं।<br>- खेल खेलकर अंक अर्जित करें।","- Αγοράστε διάφορες αναβαθμίσεις για να κάνετε τα πράγματα πιο εύκολα.<br>- Κερδίστε πόντους παίζοντας το παιχνίδι.","- Compre várias melhorias para facilitar as coisas.<br>- Ganhe pontos jogando."
"Vendors","Vendors","Venditori","Sprzedawcy","Vendedores","Verkäufer","Vendedores","Vendeurs","ベンダー","Торговцы","Satıcılar","الباعة","Prodejci","ผู้ขาย","Penjual","Verkopers","Nhà cung cấp","상인","商人","商人","Tiekėjai","Продавці","Pārdevēji","विक्रेताओं","Πωλητές","Vendedores"
"Vendors_Description","- Interact with vendors to purchase items, weapons and abilities.<br>- There are two currencies used for purchases, gold and souls.<br>- Some vendor items can only be purchased by a traitor.","- Interagisci con i venditori per acquistare oggetti, armi e abilità.<br>- Ci sono due valute utilizzate per gli acquisti, oro e anime.<br>- Alcuni oggetti del venditore possono essere acquistati solo da un traditore.","- Wchodź w interakcje ze sprzedawcami, aby kupić przedmioty, broń i umiejętności.<br>- Do zakupów używane są dwie waluty: złoto i dusze.<br>- Niektóre przedmioty u sprzedawców mogą być kupowane tylko przez zdrajcę.","- Interactúa con los vendedores para comprar artículos, armas y habilidades.<br>- Hay dos monedas usadas para compras: oro y almas.<br>- Algunos artículos de los vendedores solo pueden ser comprados por un traidor.","- Interagieren Sie mit Verkäufern, um Gegenstände, Waffen und Fähigkeiten zu kaufen.<br>- Für Einkäufe werden zwei Währungen verwendet, Gold und Seelen.<br>- Einige Verkäuferartikel können nur von einem Verräter gekauft werden.","- Interaja com os vendedores para comprar itens, armas e habilidades.<br>- Existem duas moedas usadas para compras: ouro e almas.<br>- Alguns itens do vendedor só podem ser comprados por um traidor.","- Interagissez avec les vendeurs pour acheter des objets, des armes et des compétences.<br>- Il y a deux devises utilisées pour les achats: l'or et les âmes.<br>- Certains objets de vendeur ne peuvent être achetés que par un traître.","- ベンダーとやり取りして、アイテム、武器、能力を購入しましょう。<br>- 購入には2種類の通貨（ゴールドとソウル）が使われます。<br>- いくつかのベンダーアイテムは、裏切り者しか購入できません。","- Взаимодействуйте с торговцами, чтобы покупать предметы, оружие и способности.<br>- Для покупок используются две валюты: золото и души.<br>- Некоторые товары у торговцев могут быть куплены только предателем.","- Satıcılarla etkileşim kurarak eşyalar, silahlar ve yetenekler satın alın.<br>- Satın alma işlemlerinde iki para birimi kullanılır: altın ve ruhlar.<br>- Bazı satıcı ürünleri yalnızca bir hain tarafından satın alınabilir.","- تفاعل مع الباعة لشراء العناصر والأسلحة والقدرات.<br>- هناك عملتان مستخدمتان في المشتريات: الذهب والأرواح.<br>- بعض عناصر البائع لا يمكن شراؤها إلا من قبل خائن.","- Interagujte s prodejci a kupujte předměty, zbraně a schopnosti.<br>- K nákupům se používají dvě měny: zlato a duše.<br>- Některé předměty od prodejců lze zakoupit pouze zrádcem.","- โต้ตอบกับผู้ขายเพื่อซื้อไอเท็ม อาวุธ และความสามารถ<br>- มีสองสกุลเงินที่ใช้ในการซื้อ: ทองและวิญญาณ<br>- บางรายการจากผู้ขายสามารถซื้อได้โดยผู้ทรยศเท่านั้น","- Berinteraksilah dengan penjual untuk membeli barang, senjata, dan kemampuan.<br>- Ada dua mata uang yang digunakan untuk pembelian: emas dan jiwa.<br>- Beberapa barang penjual hanya bisa dibeli oleh pengkhianat.","- Interageer met verkopers om items, wapens en vaardigheden te kopen.<br>- Er zijn twee valuta's die worden gebruikt voor aankopen: goud en zielen.<br>- Sommige verkopersartikelen kunnen alleen door een verrader worden gekocht.","- Tương tác với nhà cung cấp để mua vật phẩm, vũ khí và khả năng.<br>- Có hai loại tiền tệ được sử dụng để mua hàng: vàng và linh hồn.<br>- Một số mặt hàng chỉ có thể được mua bởi kẻ phản bội.","- 상인과 상호 작용하여 아이템, 무기 및 능력을 구입하십시오.<br>- 구매에는 두 가지 통화, 금과 영혼이 사용됩니다.<br>- 일부 상인 아이템은 배신자만 구매할 수 있습니다.","- 与商人互动以购买物品、武器和技能。<br>- 购买使用两种货币：金币和灵魂。<br>- 有些商人的物品只能由叛徒购买。","- 與商人互動以購買物品、武器和技能。<br>- 購買使用兩種貨幣：金幣和靈魂。<br>- 有些商人的物品只能由叛徒購買。","- Sąveikaukite su pardavėjais, kad galėtumėte įsigyti daiktų, ginklų ir gebėjimų.<br>- Pirkimams naudojamos dvi valiutos: auksas ir sielos.<br>- Kai kuriuos pardavėjo daiktus gali įsigyti tik išdavikas.","- Взаємодійте з продавцями, щоб купувати предмети, зброю та здібності.<br>- Для покупок використовуються дві валюти: золото і душі.<br>- Деякі предмети у продавців можуть бути куплені лише зрадником.","- Mijiedarbojieties ar pārdevējiem, lai iegādātos priekšmetus, ieročus un spējas.<br>- Pirkumiem tiek izmantotas divas valūtas: zelts un dvēseles.<br>- Dažas pārdevēja preces var iegādāties tikai nodevējs.","- विक्रेताओं के साथ बातचीत करें और वस्तुएं, हथियार और क्षमताएं खरीदें।<br>- खरीदारी के लिए दो मुद्राएं हैं: सोना और आत्माएं।<br>- कुछ विक्रेता वस्तुएं केवल एक गद्दार द्वारा खरीदी जा सकती हैं।","- Αλληλεπιδράστε με τους πωλητές για να αγοράσετε αντικείμενα, όπλα και ικανότητες.<br>- Υπάρχουν δύο νομίσματα που χρησιμοποιούνται για αγορές: χρυσός και ψυχές.<br>- Ορισμένα αντικείμενα από τους πωλητές μπορούν να αγοραστούν μόνο από έναν προδότη.","- Interaja com os vendedores para comprar itens, armas e habilidades.<br>- Existem duas moedas usadas para compras: ouro e almas.<br>- Alguns itens de vendedores só podem ser comprados por um traidor."
"PreventTaskCompletion","Prevent task completion","Impedisci il completamento del compito","Zapobiegaj ukończeniu zadań","Evitar la finalización de la tarea","Verhindere die Aufgabenerfüllung","Evitar a conclusão da tarefa","Empêcher l'achèvement des tâches","タスクの完了を防ぐ","Предотвратить завершение задания","Görev tamamlamayı engelle","منع اكتمال المهمة","Zabránit dokončení úkolů","ป้องกันการเสร็จสิ้นงาน","Cegah penyelesaian tugas","Voorkom taakvoltooiing","Ngăn chặn hoàn thành nhiệm vụ","작업 완료를 방지하다","防止任务完成","防止任務完成","Užkirsti kelią užduočių atlikimui","Запобігти виконанню завдання","Novērst uzdevuma pabeigšanu","कार्य पूरा करने से रोकें","Αποτρέψτε την ολοκλήρωση του καθήκοντος","Evitar a conclusão da tarefa"
